Rank,Games_Career,Games_Team,Date,Team,Home/Away,Opp,Result,Games_Started,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Home/Away_num,Result_type,Score,Team_Score,Opponent_Score,Win_lose_num,Games_Started_num,Games_Started_str
2.0,289.0,2.0,2024-10-25,POR,Home,NOP,"L, 103-105",*,30:54:00,1.0,9.0,0.111,0.0,3.0,0.0,1.0,6.0,0.167,0.111,0.0,0.0,,1.0,5.0,6.0,6.0,1.0,2.0,2.0,1.0,2.0,2.5,2.0,1,L, 103-105,103,105,0,1,Yes
3.0,290.0,3.0,2024-10-27,POR,Home,NOP,"W, 125-103",*,29:56:00,4.0,12.0,0.333,1.0,5.0,0.2,3.0,7.0,0.429,0.375,2.0,2.0,1.0,3.0,3.0,6.0,3.0,1.0,0.0,1.0,3.0,11.0,8.1,21.0,1,W, 125-103,125,103,1,1,Yes
4.0,291.0,4.0,2024-10-28,POR,Away,SAC,"L, 98-111",*,24:59:00,2.0,7.0,0.286,0.0,4.0,0.0,2.0,3.0,0.667,0.286,5.0,6.0,0.833,0.0,4.0,4.0,1.0,2.0,0.0,2.0,2.0,9.0,5.6,-21.0,0,L, 98-111,98,111,0,1,Yes
5.0,292.0,5.0,2024-10-30,POR,Away,LAC,"W, 106-105",*,29:02:00,3.0,8.0,0.375,1.0,3.0,0.333,2.0,5.0,0.4,0.438,6.0,6.0,1.0,0.0,10.0,10.0,2.0,1.0,2.0,2.0,2.0,13.0,12.6,-4.0,0,W, 106-105,106,105,1,1,Yes
6.0,293.0,6.0,2024-11-01,POR,Home,OKC,"L, 114-137",*,23:00,5.0,10.0,0.5,1.0,3.0,0.333,4.0,7.0,0.571,0.55,0.0,1.0,0.0,1.0,2.0,3.0,4.0,1.0,0.0,6.0,2.0,11.0,3.9,-11.0,1,L, 114-137,114,137,0,1,Yes
7.0,294.0,7.0,2024-11-02,POR,Away,PHO,"L, 97-103",*,32:19:00,4.0,12.0,0.333,2.0,5.0,0.4,2.0,7.0,0.286,0.417,3.0,3.0,1.0,2.0,4.0,6.0,2.0,2.0,2.0,1.0,2.0,13.0,11.8,12.0,0,L, 97-103,97,103,0,1,Yes
8.0,295.0,8.0,2024-11-04,POR,Away,NOP,"W, 118-100",*,20:45,2.0,5.0,0.4,0.0,1.0,0.0,2.0,4.0,0.5,0.4,3.0,4.0,0.75,2.0,4.0,6.0,3.0,0.0,0.0,0.0,2.0,7.0,7.8,-7.0,0,W, 118-100,118,100,1,1,Yes
9.0,296.0,9.0,2024-11-07,POR,Away,SAS,"L, 105-118",*,24:48:00,3.0,5.0,0.6,1.0,3.0,0.333,2.0,2.0,1.0,0.7,2.0,5.0,0.4,2.0,5.0,7.0,5.0,0.0,0.0,1.0,0.0,9.0,10.9,-4.0,0,L, 105-118,105,118,0,1,Yes
10.0,297.0,10.0,2024-11-08,POR,Away,MIN,"L, 102-127",*,23:27,4.0,9.0,0.444,0.0,2.0,0.0,4.0,7.0,0.571,0.444,1.0,3.0,0.333,1.0,4.0,5.0,1.0,1.0,0.0,1.0,2.0,9.0,5.3,-26.0,0,L, 102-127,102,127,0,1,Yes
11.0,298.0,11.0,2024-11-10,POR,Home,MEM,"L, 89-134",,13:26,0.0,5.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,1.0,1.0,2.0,4.0,0.0,1.0,2.0,1.0,0.0,-1.4,-14.0,1,L, 89-134,89,134,0,0,No
